------ Basic information ------
Temporal cardinal of nodes: 1036970
Distinct cardinal of nodes: 916
Temporal cardinal of links: 8958
Distinct cardinal of links: 1072
Duration: 18607

------ Stream metrics ------
Coverage: 0.060841
Number of nodes: 55.730102
Node duration: 1132.063319
Link duration: 0.021376
Uniformity: 0.032667
Compactness: 0.060841
Density: 0.000298
Average node degree: 0.013090
Node clustering coefficient: 0.000000
Transitivity ratio: 0.000000

------ Node and link metrics ------
Node 69 | Contribution: 0.000054 | Density: 0.029412 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 70 | Contribution: 0.018756 | Density: 0.000075 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 71 | Contribution: 0.000054 | Density: 0.019608 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 72 | Contribution: 0.012845 | Density: 0.000215 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 73 | Contribution: 0.000054 | Density: 0.012195 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 74 | Contribution: 0.000054 | Density: 0.014706 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 75 | Contribution: 0.038211 | Density: 0.000056 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 76 | Contribution: 0.002526 | Density: 0.000536 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 77 | Contribution: 0.000054 | Density: 0.018182 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 78 | Contribution: 0.000054 | Density: 0.017544 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 79 | Contribution: 0.000376 | Density: 0.005089 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 80 | Contribution: 0.001129 | Density: 0.001974 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 81 | Contribution: 0.000054 | Density: 0.017857 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 82 | Contribution: 0.009190 | Density: 0.000188 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 83 | Contribution: 0.118450 | Density: 0.000131 | Degree: 0.001075 | Clustering coefficient: 0.000000
Node 84 | Contribution: 0.000054 | Density: 0.014493 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 85 | Contribution: 0.000269 | Density: 0.007117 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 86 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 87 | Contribution: 0.000054 | Density: 0.025000 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 88 | Contribution: 0.000054 | Density: 0.013158 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 89 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 90 | Contribution: 0.002472 | Density: 0.001897 | Degree: 0.000376 | Clustering coefficient: 0.000000
Node 91 | Contribution: 0.000054 | Density: 0.014286 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 92 | Contribution: 0.000054 | Density: 0.014286 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 93 | Contribution: 0.000054 | Density: 0.014085 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 94 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 95 | Contribution: 0.005643 | Density: 0.000513 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 96 | Contribution: 0.011716 | Density: 0.000245 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 97 | Contribution: 0.000537 | Density: 0.003571 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 98 | Contribution: 0.000054 | Density: 0.012987 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 99 | Contribution: 0.000054 | Density: 0.012500 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 100 | Contribution: 0.000054 | Density: 0.014706 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 101 | Contribution: 0.000054 | Density: 0.012821 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 102 | Contribution: 0.025044 | Density: 0.000442 | Degree: 0.000376 | Clustering coefficient: 0.000000
Node 103 | Contribution: 0.000054 | Density: 0.014085 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 104 | Contribution: 0.000054 | Density: 0.012821 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 105 | Contribution: 0.044876 | Density: 0.000065 | Degree: 0.000215 | Clustering coefficient: 0.000000
Node 106 | Contribution: 0.000054 | Density: 0.014286 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 107 | Contribution: 0.000430 | Density: 0.004630 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 108 | Contribution: 0.028376 | Density: 0.000053 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 109 | Contribution: 0.013490 | Density: 0.000249 | Degree: 0.000215 | Clustering coefficient: 0.000000
Node 110 | Contribution: 0.000054 | Density: 0.012821 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 111 | Contribution: 0.000054 | Density: 0.012500 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 112 | Contribution: 0.000054 | Density: 0.012821 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 113 | Contribution: 0.052830 | Density: 0.000041 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 114 | Contribution: 0.000054 | Density: 0.019608 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 115 | Contribution: 0.000054 | Density: 0.013333 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 116 | Contribution: 0.036922 | Density: 0.000260 | Degree: 0.000537 | Clustering coefficient: 0.000000
Node 117 | Contribution: 0.002257 | Density: 0.000606 | Degree: 0.000107 | Clustering coefficient: 0.000000
Node 118 | Contribution: 0.002956 | Density: 0.000679 | Degree: 0.000161 | Clustering coefficient: 0.000000
Node 119 | Contribution: 0.045091 | Density: 0.000101 | Degree: 0.000322 | Clustering coefficient: 0.000000
Node 120 | Contribution: 0.000054 | Density: 0.012500 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 121 | Contribution: 0.000054 | Density: 0.013889 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 122 | Contribution: 0.000054 | Density: 0.013158 | Degree: 0.000054 | Clustering coefficient: 0.000000
Node 123 | Contribution: 0.000054 | Density: 0.012500 | Degree: 0.000054 | Clustering coefficient: 0.000000
